18:11:19 ths 000007FEE5410000
18:11:19 GameBase 13fdf0000
18:11:20 0.000000 0.000000 -15.000322
18:11:20 -6563.367676 1083.576172 211.553726
18:11:21 0.000000 0.000000 -15.000322
18:11:21 -6563.367676 1083.576172 211.553726
18:11:22 0.000000 0.000000 -15.000322
18:11:22 -6563.367676 1083.576172 211.553726
18:11:23 0.000000 0.000000 -15.000322
18:11:23 -6563.367676 1083.576172 211.553726
18:11:24 0.000000 0.000000 -15.000322
18:11:24 -6563.367676 1083.576172 211.553726
18:11:25 0.000000 0.000000 -15.000322
18:11:25 -6563.367676 1083.576172 211.553726
18:11:26 0.000000 0.000000 -15.000322
18:11:26 -6563.367676 1083.576172 211.553726
18:11:27 0.000000 0.000000 -15.000322
18:11:27 -6563.367676 1083.576172 211.553726
18:11:28 0.000000 0.000000 0.000000
18:11:28 0.000000 0.000000 0.000000
18:11:29 0.000000 0.000000 0.000000
18:11:29 -240406.500000 -257918.609375 -192.100006
18:11:30 0.000000 0.000000 0.000000
18:11:30 -240406.500000 -257918.609375 -192.100006
18:11:31 0.000000 0.000000 0.000000
18:11:31 -240406.500000 -257918.609375 -192.100006
18:11:32 0.000000 0.000000 0.000000
18:11:32 -240406.500000 -257918.609375 -192.100006
18:11:33 0.000000 0.000000 0.000000
18:11:33 -240406.500000 -257918.609375 -192.100006
18:11:34 0.000000 0.000000 0.000000
18:11:34 -240406.500000 -257918.609375 -192.100006
18:11:35 0.000000 0.000000 0.000000
18:11:35 -240406.500000 -257918.609375 -192.100006
18:11:36 0.000000 0.000000 0.000000
18:11:36 -240406.500000 -257918.609375 -192.100006
18:11:37 0.000000 0.000000 0.000000
18:11:37 -240406.500000 -257918.609375 -192.100006
18:11:38 0.000000 0.000000 0.000000
18:11:38 -240466.500000 -257918.609375 -258.704285
18:11:39 0.000000 0.000000 0.000000
18:11:39 -240466.500000 -257918.593750 -258.151245
18:11:40 0.000000 0.000000 0.000000
18:11:40 -240466.500000 -257918.593750 -261.403076
18:11:41 0.000000 0.000000 0.000000
18:11:41 -240466.500000 -257918.593750 -261.208466
18:11:42 0.000000 0.000000 0.000000
18:11:42 -240466.500000 -257918.593750 -260.366333
18:11:43 0.000000 0.000000 0.000000
18:11:43 -240466.500000 -257918.593750 -260.645264
18:11:44 0.000000 0.000000 0.000000
18:11:44 -240466.500000 -257918.593750 -259.195862
18:11:45 0.000000 0.000000 0.000000
18:11:45 -240466.500000 -257918.593750 -261.027557
18:11:46 0.000000 0.000000 0.000000
18:11:46 -240466.500000 -257918.593750 -259.863892
18:11:47 0.000000 0.000000 0.000000
18:11:47 -240466.500000 -257918.593750 -259.172668
18:11:48 0.000000 0.000000 0.000000
18:11:48 -240466.500000 -257918.593750 -257.666046
18:11:49 0.000000 0.000000 0.000000
18:11:49 -240466.500000 -257918.593750 -258.458252
18:11:50 0.000000 0.000000 0.000000
18:11:50 -240466.500000 -257918.593750 -258.115082
18:11:51 0.000000 0.000000 0.000000
18:11:51 -240466.500000 -257918.593750 -261.066742
18:11:52 0.000000 0.000000 0.000000
18:11:52 -240466.500000 -257918.593750 -259.684540
18:11:53 13.895395 0.000000 8.808185
18:11:53 -240453.468750 -257966.156250 -332.401733
